Thread-1: id_filmu=0, id_uzytkownika=100, ocena=9, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=1, id_uzytkownika=101, ocena=2, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=2, id_uzytkownika=102, ocena=10, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=3, id_uzytkownika=103, ocena=3, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=4, id_uzytkownika=104, ocena=7, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=5, id_uzytkownika=105, ocena=10, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=6, id_uzytkownika=106, ocena=4, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=7, id_uzytkownika=107, ocena=6, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=8, id_uzytkownika=108, ocena=2, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=9, id_uzytkownika=109, ocena=10, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=10, id_uzytkownika=110, ocena=7, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=11, id_uzytkownika=111, ocena=7, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=12, id_uzytkownika=112, ocena=2, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=13, id_uzytkownika=113, ocena=2, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=14, id_uzytkownika=114, ocena=7, data=Mon Dec 02 22:15:43 CET 2024
Thread-1: id_filmu=15, id_uzytkownika=115, ocena=1, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=0, id_uzytkownika=100, ocena=1, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=1, id_uzytkownika=101, ocena=5, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=2, id_uzytkownika=102, ocena=6, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=3, id_uzytkownika=103, ocena=1, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=4, id_uzytkownika=104, ocena=5, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=5, id_uzytkownika=105, ocena=10, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=6, id_uzytkownika=106, ocena=7, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=7, id_uzytkownika=107, ocena=3, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=8, id_uzytkownika=108, ocena=3, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=9, id_uzytkownika=109, ocena=10, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=10, id_uzytkownika=110, ocena=8, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=11, id_uzytkownika=111, ocena=3, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=12, id_uzytkownika=112, ocena=5, data=Mon Dec 02 22:15:43 CET 2024
Thread-2: id_filmu=13, id_uzytkownika=113, ocena=3, data=Mon Dec 02 22:15:43 CET 2024
